UniversityName,DegreeType,DualCombined,ValidatedDegreeName,Degree,Program,Concentration,Searchtag1,Searchtag2,Searchtag3,SOPHAS,Term,LinkToDepartment,LinkDescription,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Biostatistics,,3,,,Yes,3,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Environmental Health,Master's International Program with the US Peace Corps,10,44,34,Yes,3,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Environmental Health,,10,44,34,Yes,3,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Epidemiology,Master's International Program with the US Peace Corps,11,23,4,Yes,3,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Epidemiology,,11,23,4,Yes,3,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,"Health Law, Bioethics & Human Rights",Master's International Program with the US Peace Corps,19,,,Yes,3,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,"Health Law, Bioethics & Human Rights",,19,,,Yes,3,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Health Policy & Management,Master's International Program with the US Peace Corps,16,17,27,Yes,3,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Health Policy & Management,,16,17,27,Yes,3,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,International Health,Master's International Program with the US Peace Corps,25,17,27,Yes,3,http://sph.bu.edu/ih,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,International Health,,25,17,27,Yes,3,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Maternal & Child Health,,28,46,37,Yes,3,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Maternal & Child Health,,28,46,37,Yes,3,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Social & Behavioral Sciences,Master's International Program with the US Peace Corps,18,30,20,Yes,3,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Social & Behavioral Sciences,,18,30,20,Yes,3,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Biostatistics,Athletic Training,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Biostatistics,Exercise Science,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Biostatistics,Health Science,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Biostatistics,Health Studies,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Biostatistics,Human Physiology,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Biostatistics,Nutritional Sciences,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Biostatistics,Rehabilitation & Human Services,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Biostatistics,"Speech, Language & Hearing Sciences",3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Biostatistics,Therapeutic Studies,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Environmental Health,Athletic Training,10,,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Environmental Health,Exercise Science,10,,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Environmental Health,Health Science,10,,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Environmental Health,Health Studies,10,,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Environmental Health,Human Physiology,10,,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Environmental Health,Nutritional Sciences,10,,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Environmental Health,Rehabilitation & Human Services,10,,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Environmental Health,"Speech, Language & Hearing Sciences",10,,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Environmental Health,Therapeutic Studies,10,,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,Approved Deferral,11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,Athletic Training,11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,Exercise Science,11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,Health Science,11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,Health Studies,11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,Human Physiology,11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,Nutritional Sciences,11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,Rehabilitation & Human Services,11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,"Speech, Language & Hearing Sciences",11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Epidemiology,Therapeutic Studies,11,,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,"Health Law, Bioethics & Human Rights",Athletic Training,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,"Health Law, Bioethics & Human Rights",Exercise Science,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,"Health Law, Bioethics & Human Rights",Health Science,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,"Health Law, Bioethics & Human Rights",Health Studies,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,"Health Law, Bioethics & Human Rights",Human Physiology,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,"Health Law, Bioethics & Human Rights",Nutritional Sciences,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,"Health Law, Bioethics & Human Rights",Rehabilitation & Human Services,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,"Health Law, Bioethics & Human Rights","Speech, Language & Hearing Sciences",19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,"Health Law, Bioethics & Human Rights",Therapeutic Studies,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Health Policy & Management,Athletic Training,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Health Policy & Management,Exercise Science,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Health Policy & Management,Health Science,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Health Policy & Management,Health Studies,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Health Policy & Management,Human Physiology,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Health Policy & Management,Nutritional Sciences,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Health Policy & Management,Rehabilitation & Human Services,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Health Policy & Management,"Speech, Language & Hearing Sciences",16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Health Policy & Management,Therapeutic Studies,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,International Health,Athletic Training,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,International Health,Exercise Science,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,International Health,Health Science,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,International Health,Health Studies,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,International Health,Human Physiology,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,International Health,Nutritional Sciences,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,International Health,Rehabilitation & Human Services,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,International Health,"Speech, Language & Hearing Sciences",25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,International Health,Therapeutic Studies,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Maternal & Child Health,Athletic Training,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Maternal & Child Health,Exercise Science,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Maternal & Child Health,Health Science,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Maternal & Child Health,Health Studies,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Maternal & Child Health,Human Physiology,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Maternal & Child Health,Nutritional Sciences,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Maternal & Child Health,Rehabilitation & Human Services,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Maternal & Child Health,"Speech, Language & Hearing Sciences",28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Maternal & Child Health,Therapeutic Studies,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Social & Behavioral Sciences,Athletic Training,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Social & Behavioral Sciences,Exercise Science,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Social & Behavioral Sciences,Health Science,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Social & Behavioral Sciences,Health Studies,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Social & Behavioral Sciences,Human Physiology,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Social & Behavioral Sciences,Nutritional Sciences,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Social & Behavioral Sciences,Rehabilitation & Human Services,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Social & Behavioral Sciences,"Speech, Language & Hearing Sciences",18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,22,MPH/BS,Social & Behavioral Sciences,Therapeutic Studies,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,yes,26,MPH/JD,Biostatistics,,3,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=466&Itemid=50568,,,,,,,
Boston University School of Public Health,Masters,yes,26,MPH/JD,Environmental Health,,10,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=466&Itemid=50568,,,,,,,
Boston University School of Public Health,Masters,yes,26,MPH/JD,Epidemiology,,11,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=466&Itemid=50568,,,,,,,
Boston University School of Public Health,Masters,yes,26,MPH/JD,"Health Law, Bioethics & Human Rights",,19,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=466&Itemid=50568,,,,,,,
Boston University School of Public Health,Masters,yes,26,MPH/JD,Health Policy & Management,,16,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=466&Itemid=50568,,,,,,,
Boston University School of Public Health,Masters,yes,26,MPH/JD,International Health,,25,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=466&Itemid=50568,,,,,,,
Boston University School of Public Health,Masters,yes,26,MPH/JD,Maternal & Child Health,,28,46,37,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=466&Itemid=50568,,,,,,,
Boston University School of Public Health,Masters,yes,26,MPH/JD,Social & Behavioral Sciences,,18,30,20,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=466&Itemid=50568,,,,,,,
Boston University School of Public Health,Masters,yes,28,MPH/MA,Biostatistics,,3,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=469&Itemid=50571,,,,,,,
Boston University School of Public Health,Masters,yes,28,MPH/MA,Environmental Health,,10,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=469&Itemid=50571,,,,,,,
Boston University School of Public Health,Masters,yes,28,MPH/MA,Epidemiology,,11,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=469&Itemid=50571,,,,,,,
Boston University School of Public Health,Masters,yes,28,MPH/MA,"Health Law, Bioethics & Human Rights",,19,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=469&Itemid=50571,,,,,,,
Boston University School of Public Health,Masters,yes,28,MPH/MA,Health Policy & Management,,16,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=469&Itemid=50571,,,,,,,
Boston University School of Public Health,Masters,yes,28,MPH/MA,International Health,,25,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=469&Itemid=50571,,,,,,,
Boston University School of Public Health,Masters,yes,28,MPH/MA,Maternal & Child Health,,28,46,37,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=469&Itemid=50571,,,,,,,
Boston University School of Public Health,Masters,yes,28,MPH/MA,Social & Behavioral Sciences,,18,30,20,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=469&Itemid=50571,,,,,,,
Boston University School of Public Health,Masters,yes,30,MPH/MBA,Health Policy & Management,Health Care Management,16,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=467&Itemid=50569,,,,,,,
Boston University School of Public Health,Masters,yes,30,MPH/MBA,International Health,Global Health Management,25,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=679&Itemid=616937,,,,,,,
Boston University School of Public Health,Masters,yes,32,MPH/MD,Biostatistics,,3,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570,,,,,,,
Boston University School of Public Health,Masters,yes,32,MPH/MD,Environmental Health,,10,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570,,,,,,,
Boston University School of Public Health,Masters,yes,32,MPH/MD,Epidemiology,,11,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570,,,,,,,
Boston University School of Public Health,Masters,yes,32,MPH/MD,"Health Law, Bioethics & Human Rights",,19,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570,,,,,,,
Boston University School of Public Health,Masters,yes,32,MPH/MD,Health Policy & Management,,16,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570,,,,,,,
Boston University School of Public Health,Masters,yes,32,MPH/MD,International Health,,25,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570,,,,,,,
Boston University School of Public Health,Masters,yes,32,MPH/MD,Maternal & Child Health,,28,46,37,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570,,,,,,,
Boston University School of Public Health,Masters,yes,32,MPH/MD,Social & Behavioral Sciences,,18,30,20,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570,,,,,,,
Boston University School of Public Health,Masters,yes,45,MPH/MSW,Biostatistics,,3,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=470&Itemid=50572,,,,,,,
Boston University School of Public Health,Masters,yes,45,MPH/MSW,Environmental Health,,10,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=470&Itemid=50572,,,,,,,
Boston University School of Public Health,Masters,yes,45,MPH/MSW,Epidemiology,,11,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=470&Itemid=50572,,,,,,,
Boston University School of Public Health,Masters,yes,45,MPH/MSW,"Health Law, Bioethics & Human Rights",,19,,,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=470&Itemid=50572,,,,,,,
Boston University School of Public Health,Masters,yes,45,MPH/MSW,Health Policy & Management,,16,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=470&Itemid=50572,,,,,,,
Boston University School of Public Health,Masters,yes,45,MPH/MSW,International Health,,25,17,27,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=470&Itemid=50572,,,,,,,
Boston University School of Public Health,Masters,yes,45,MPH/MSW,Maternal & Child Health,,28,46,37,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=470&Itemid=50572,,,,,,,
Boston University School of Public Health,Masters,yes,45,MPH/MSW,Social & Behavioral Sciences,,18,30,20,Yes,5,http://sph.bu.edu/index.php?option=com_content&task=view&id=470&Itemid=50572,,,,,,,
Boston University School of Public Health,Masters,,59,MSc,Epidemiology,,11,4,,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,,59,MSc,Health Service Research,,21,,,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Drexel University School of Public Health,,,3,Certificate,Epidemiology & Biostatistics,,3,11,8,No,5,http://publichealth.drexel.edu/Academics/Degrees/Epi_and_Bio_Certificate/193/,,,,,,,
Drexel University School of Public Health,Doctoral,,6,DrPH,Community Health and Prevention,,6,7,20,No,5,http://publichealth.drexel.edu/Academics/Degrees/DrPH_Degree_in_Community_Health_and_Prevention/190/,,,,,,,
Drexel University School of Public Health,Doctoral,,6,DrPH,Health Policy and Social Justice,,27,31,9,No,5,,,,,,,,
Drexel University School of Public Health,Masters,,20,MPH,Biostatistics / Full-Time Program,,3,8,6,Yes,5,http://publichealth.drexel.edu/Academics/Degrees/MPH_Degree/188/,,,,,,,
Drexel University School of Public Health,Masters,,20,MPH,Community Health and Prevention / Full-Time Program,,7,8,6,Yes,5,http://publichealth.drexel.edu/Academics/Degrees/MPH_Degree/188/,,,,,,,
Drexel University School of Public Health,Masters,,20,MPH,Environmental and Occupational Health / Full-Time Program,,10,34,6,Yes,5,http://publichealth.drexel.edu/Academics/Degrees/MPH_Degree/188/,,,,,,,
Drexel University School of Public Health,Masters,,20,MPH,Epidemiology / Full-Time Program,,11,6,8,Yes,5,http://publichealth.drexel.edu/Academics/Degrees/MPH_Degree/188/,,,,,,,
Drexel University School of Public Health,Masters,,20,MPH,General Studies / Executive Program,,8,14,,No,5,http://publichealth.drexel.edu/Academics/Degrees/Executive_MPH_Degree/189/,,,,,,,
Drexel University School of Public Health,Masters,,20,MPH,General Studies / Full-Time Program,,8,14,6,Yes,5,http://publichealth.drexel.edu/Academics/Degrees/MPH_Degree/188/,,,,,,,
Drexel University School of Public Health,Masters,,20,MPH,Health Management and Policy / Full-Time Program,,16,27,6,Yes,5,http://publichealth.drexel.edu/Academics/Degrees/MPH_Degree/188/,,,,,,,
Drexel University School of Public Health,Masters,,54,MS,Biostatistics  ,,3,24,,No,5,http://publichealth.drexel.edu/Academics/Degrees/MS_Degree_in_Biostatistics/539/,,,,,,,
Drexel University School of Public Health,Doctoral,,68,PhD,Epidemiology,,11,23,,No,5,http://publichealth.drexel.edu/Academics/Degrees/PhD_Degree_in_Epidemiology/540/,,,,,,,
Florida International University Stempel School of Public Health,,,1,Bachelors,Bachelors in Health Services Administration,,16,17,27,No,5,www.ssph.fiu.edu,http://ssph.fiu.edu/health_policy/index.html,,,,,,
Florida International University Stempel School of Public Health,,,1,Bachelors,Dietetics and Nutrition ,Didactic or Coordinated Program,33,47,35,No,5,www.ssph.fiu.edu,http://ssph.fiu.edu/dietetics_nutrition/index.html,,,,,,
Florida International University Stempel School of Public Health,,,1,Bachelors of Social Work,Social Work,,35,6,40,No,5,http://www.socialwork.fiu.edu,http://www.socialwork.fiu.edu/BSSW.htm,,,,,,
Florida International University Stempel School of Public Health,,,1,Bachelors,Bachelors in Health Services Administration,,16,17,27,No,3,www.ssph.fiu.edu,http://ssph.fiu.edu/health_policy/index.html,,,,,,
Florida International University Stempel School of Public Health,,,1,Bachelors,Dietetics and Nutrition ,Didactic or Coordinated Program,33,47,35,No,3,www.ssph.fiu.edu,http://ssph.fiu.edu/dietetics_nutrition/index.html,,,,,,
Florida International University Stempel School of Public Health,,,1,Bachelors,Bachelors in Health Services Administration,,16,17,27,No,3,www.ssph.fiu.edu,http://ssph.fiu.edu/health_policy/index.html,,,,,,
Florida International University Stempel School of Public Health,,,1,Bachelors,Dietetics and Nutrition ,Didactic or Coordinated Program,33,47,35,No,3,www.ssph.fiu.edu,http://ssph.fiu.edu/dietetics_nutrition/index.html,,,,,,
Florida International University Stempel School of Public Health,,,1,Bachelors of Social Work,Social Work,,35,6,40,No,3,http://www.socialwork.fiu.edu,http://www.socialwork.fiu.edu/BSSW.htm,,,,,,
Florida International University Stempel School of Public Health,,,1,Bachelors of Social Work,Social Work,,35,6,40,No,3,http://www.socialwork.fiu.edu,http://www.socialwork.fiu.edu/BSSW.htm,,,,,,
Florida International University Stempel School of Public Health,,,3,Child Welfare Certificate,Social Work,,35,,,No,5,www.socialwork.fiu.edu,http://www.socialwork.fiu.edu/BSSW.htm,,,,,,
Florida International University Stempel School of Public Health,,,3,Graduate Certificate  ,Community Nutrition,,33,20,,No,5,www.ssph.fiu.edu,http://ssph.fiu.edu/students_affairs/advising_sheets.html,,,,,,
