ProgramName	Tag1	Tag2	Tag3	SophasYesNo	DescriptionLink	Description	SchoolName	TermID	DegreeType	DegreeID	ValidatedDegreeName	DepartmentLink	DualCombined	Concentration	AppInformation	AppRequirement		
Long Term Care	1	16	6	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Long Term Care	1	16	6	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Communication and Marketing	20	18	7	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Communication and Marketing	20	18	7	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Communication and Marketing	20	18	7	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Services Generalist	16	17	14	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Services Generalist	16	17	14	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Services Generalist	16	17	14	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Management	6	16	17	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Management	6	16	17	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Management	6	16	17	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/		 	http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Promotion	18	7	20	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Promotion	18	7	20	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Promotion	18	7	20	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
HIV/AIDS Studies	18	20	23	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
HIV/AIDS Studies	18	20	23	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
HIV/AIDS Studies	18	20	23	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Microbiology and Emerging Infectious Diseases	2	22	23	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Microbiology and Emerging Infectious Diseases	2	22	23	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Microbiology and Emerging Infectious Diseases	2	22	23	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Policy	19	30	27	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Policy	19	30	27	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Policy	19	30	27	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Maternal and Child Health	28	18	37	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Maternal and Child Health	28	18	37	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/		 	http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Maternal and Child Health	28	18	37	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology	11	0	38	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology	11	0	38	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology	11	0	38	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Emergency Management and Public Health	26	27	39	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Emergency Management and Public Health	26	27	39	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Emergency Management and Public Health	26	27	39	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Global Health	25	31	40	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Global Health	25	31	40	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Global Health	25	31	40	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Environmental and Occupational Health	10	34	44	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Environmental and Occupational Health	10	34	44	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Environmental and Occupational Health	10	34	44	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Advanced Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Fall 2008		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Fall 2008		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Advanced Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Fall 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Fall 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Advanced Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Spring 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Spring 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Advanced Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Summer 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Summer 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Advanced Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Winter 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Biostatistics	3	0	0	Yes			Loma Linda University School of Public Health	Winter 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicbiostatistics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Advanced Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Fall 2008		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Fall 2008		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Epidemiology Research Methods	11	0	0	Yes			Loma Linda University School of Public Health	Fall 2008		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-epidemiologicalresearch.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Advanced Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Fall 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Fall 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Epidemiology Research Methods	11	0	0	Yes			Loma Linda University School of Public Health	Fall 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-epidemiologicalresearch.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Advanced Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Spring 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Spring 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Epidemiology Research Methods	11	0	0	Yes			Loma Linda University School of Public Health	Spring 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-epidemiologicalresearch.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Advanced Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Summer 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Summer 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Epidemiology Research Methods	11	0	0	Yes			Loma Linda University School of Public Health	Summer 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-epidemiologicalresearch.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Advanced Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Winter 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-advancedepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Basic Epidemiology	11	0	0	Yes			Loma Linda University School of Public Health	Winter 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-basicepidemiology.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Epidemiology Research Methods	11	0	0	Yes			Loma Linda University School of Public Health	Winter 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-epidemiologicalresearch.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geoinformatics	24	0	0	Yes			Loma Linda University School of Public Health	Fall 2008		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-healthgeoinformatics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geoinformatics	24	0	0	Yes			Loma Linda University School of Public Health	Fall 2009		3	Post-BS Cert	http://www.llu.edu/llu/sph/programs/cert-healthgeoinformatics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
